Module,Type,Status
"ClaimsHatter",Hatter Contract,"Built"
"Hats Onboarding Shaman",Other,"Built"
"Hats-powered Voting Vault",Other,"Built"
"HatsModule Factory",Eligibility Module|Hatter Contract|Toggle Module|Other,"Built"
"SeasonToggle",Toggle Module,"Built"
"StakingEligibility",Eligibility Module,"Built"
"Subgraph",,"Built"
"Tree Creation Spreadsheet",,"Built"
"ERC20 eligibility",Eligibility Module,"In Progress"
"Hats Concierge Service",Other,"In Progress"
"Hats Role Staking Shaman",Eligibility Module|Hatter Contract|Other,"In Progress"
"Hats Signer Gate app",Tool,"In Progress"
"HatsWallet",Other,"In Progress"
"JokeRace Integration",Eligibility Module|Hatter Contract,"In Progress"
"A utility for forking hat trees",Tool,"Wanted"
"AI generated trees",Tool,"Wanted"
"ClaimsHatter app/ front-end",Tool,"Wanted"
"Govrn Contribution Eligibility",Eligibility Module,"Wanted"
"Hats Module Subgraph",Other,"Wanted"
"Multi NFT Eligibility",Eligibility Module,"Wanted"
"multi-threshold wearer",,"Wanted"
"Onchain vouching app & eligibility module",Eligibility Module|Tool,"Wanted"
"Perpetual Elections",Eligibility Module|Other,"Wanted"
"Term Limits Eligibility",Eligibility Module,"Wanted"
"UMA Optimistic Oracle Eligibility module",Eligibility Module,"Wanted"
"Utility for generating custom hat images",Tool,"Wanted"
